ILNODJAFGBEHPKM,0
PEBAMLCGNFO,0
NKPMHLGJEFDACOBI,1
ADBLFKINEGJOCHM,0
JAILEPFBMKNGDOC,2
LEKAGFHBOIJDPC,1
PMEGOJKNFIBD,1
OEKGHBFPNJCDLAIM,1
NJAGMLBIFK,1
EPJBADLOKNGM,1
EMBKFJCPNOAGILD,0
JIOBDFEGLKNPMA,1
CGBPFLHDAONJEIKM,1
DFKELCABIJGMHN,1
PKELGMFJCNOHID,2
JLBHIGCNOPMKAD,1
KHJCGDALEONFPI,2
HPLGBOANCKJM,1
NJOFMBIPHCELKGA,0
EKAMOPBLFIJDGNCH,1
GPKBNFIELJMCODHA,1
MDHLJCIKGNFBOA,1
IDMOJBENKAGFL,0
AHJENDOLBKMGP,0
BFADCKEPJHLGINOM,2
MHDOJNABFKCIEPG,0
NPKAMBHCIGJOFLED,1
BPMLJKDFG,0
EPDKCIANB,0
NGOLJPAHICKFBE,1
FLJGOICHKPEAND,1
NMFLJBGKEOIPACH,0
JCLOKFHNEGMIPBD,0
DGMJIBNOHCEK,1
CLFKHJDBAPOI,1
GMAKFNDOCJHLIP,1
FMHBOAKGJCPD,1
JCBEOFMKGANIP,0
HMJILNFOCP,1
ENPFBCIOKDHJAMG,2
NMOPALKFIGDCBJH,2
DLNJHFOGCMABPKEI,1
JLMCIAFGEBOKNHDP,2
CKEHODLGBIFMANJ,2
KLOCHBNGIAED,1
IPMKBONACLJEGHF,0
PNLMFKAIGOJEHD,2
BGAFDLHKC,0
KGMBEDNCLA,1
KELCDFPGOH,1
BMJGFLPHACK,0
MAEHJGBKFOCPN,0
FOKLJPAHGNECMBD,0
EBALJCINM,0
NHODLKFGMECJP,0
OFMJIKNPCGBEHLDA,1
PAHDLFOEKJNIBM,1
OKEJCLBI,1
JAHEPCMBIGLFD,0
HNAEOMPFKDGBLIC,0
DLEKNJBHGAICFO,2
IBNJKMFOPAGCLHED,1
BMCLKPOINGDFJAE,2
FPGKAJDOCEHILNMB,2
LFGJEKPBOHIN,1
LJKGNFHMBOPD,1
EFAGJIOPKHNDBMCL,1
DOHGKBJCNFMALIP,0
AGJLNDHICMKPOF,2
PDONKALCEFHJGIB,2
EJIKBCLGMFA,0
GBJKFHLDCOANEIM,2
NHKGOAJPFBCLDEI,2
GLDFBNJIHOKAEMCP,1
BGELJMFPKICDN,0
CFMJGOBHDLA,0
KCFBEGJNOLMIDP,2
OEHAIDMNCJKBG,0
DOFMJNKCBP,1
AJBNFOEDICM,0
GFOHCNLBDAPKMJ,1
PEODGMJNKALI,1
BNKCOLPDAMGF,2
EICGHKPDJBMFLN,2
NCFGEADHIBOJPKLM,2
PNOJBKLIMGFCEH,2
JFGELMOBIADNHPK,0
FDJBECIPHLNMKOG,0
JAGHKLECFIOMPBND,1
LDPOHCBGKFANEIJ,2
FJLNGBOMKEHAPDIC,1
ONHIDPLBMJCEKGF,2
JKGOHCFLDNBPAIM,0
DEHNCBGIJLOMK,0
HAKPCOLDGBNEFIJM,1
PKNJFGOLCMHEDI,1
GMFJIKEOBPDHCLA,0
FCHDJOLGKBI,0
ADPJBGOFNLHKCEIM,1
FDGNCPEIBKH,0
LFBAGDKIOCHJNME,2
ILJKFPEHOANBDG,2
FBGEJMAKCOINHP,1
DBHOENLAJKFMIGP,0
IJNKCABMEGFD,1
KJEDFOCGHLMNBPIA,2
JMNLBHIGEDF,0
HGLEFCDPAOBK,1
ELCOJPBIGMDKNAHF,1
PBOILCANJFMEKGHD,2
GFNALDECIJKB,1
KFECHDBIJNLOGPM,2
GBKCLOFJPMDNEIH,0
JLNHMIKDBOF,0
NAOPFMIDECJGB,0
KFMGPICJBLNHO,0
IANFGPCEHMKOBL,2
EDHPIKJNOFACBGM,0
MNGKHOBPLICJEFDA,1
BFAPEKNHIGCJD,0
KOLNGFJEDBI,0
ALJHEPCMFKBGN,0
MICANEFBLKGPJOHD,2
LGFIEKDCANBHJPO,2
IPLHEMOFAKJNGB,2
PILNOJMKCADFH,0
JENKMAIGHCLFODP,0
KCMGFHLAPDIJBEON,2
FPCJAIBNGLD,0
ANOEKIFGLJBMHD,1
HBCGJAFNLKDPOIE,2
NBMHKFPGLCIJO,0
GBAPDNJKICHLFEM,0
MKFGJHLOCBAE,2
KNJMGBOAHIFE,1
JOPBFKMGIEANLHDC,1
CBEIAJFNHDKGP,0
HCKDLFOEGBPJNA,1
CMDAFBJEGI,1
JMKFCBGILAPE,1
IPNKGJEBCAOHFDL,2
JAICPBFLNGOKHEM,0
MKGJDCHNLEAFIB,1
CPIJONDMFEKABG,2
