V]OAHJCIKMGDSNZ[\cTUQPWEXY^LRda,0
V]OAH[\JCIKMGDTNSUZFEQWRLYa_^cPb,2
V]OAHJCIKQWTP\ZUGM[NcSDEY`BR_^Xa,2
V]OAHJCIKFP\ZUGMRQWT[bSB`Nc^,2
V]OAH[\JCIKPWQUTX,0
PWKZIJDSRQ]NTOFUVL[E\b^,0
V]OAHJCIKDSRZ[\NQPWEUTX,0
V]OAH[\JCIKWPbMNRQcZTUaY^XDE,2
V]OAHJCIKDSPWQUTX,0
V]OAHJCIK[\MGNTUFWPbRQcLYDSZa`B^,2
PWKZIJDSRQ]NTOY`VU[\Gc,1
V]OAHJCIKTQPWE[`L,0
PWKZIJDSRQ]NTOXFd^bcV\U[Y`BCG,2
V]OAH[\JCIKcQPWEUTX,0
UV\GcN^]HCMWKDAFEPJIBS,1
PWKZIJDSRQ]NTOBCXFd^VU[\Gc,1
PWKZIJDSRQ]NTYGH[\UFO,0
UV\GcN^]HPOCD[QXWEJITYZMSa_LR,2
V]OAHJCIKF[ULQWTRX\aZYSb_dcD^P,2
V]OAH[\JCIKaRWPbQ,0
PKWBI^UOVTX,0
UV\GcN^]HOdRPWKZF,0
UV\GcN^]HaOCWIPQJY`_MKAZTED[LR,2
V]OAH[\JCIKDSaTUNBZ,0
UV\GcN^]HWKCPZF,0
UV\GcN^]HWKMSTZPO[bCD`QIBJadAF_YXL,2
V]OAHJCIKRMNP\UZF,0
UV\GcN^]HCMaT[QXWEDIPJKZF,0
PKIWQNXCJVTGUOA_]MSLZdHBDa`Y\[Ebc,2
V]OAHJCIKRFUP\WQZMG[^BTNcYSDab,2
PUKIOMRQDJGTV\[Ad]WbFL`ENYSZBH^XC,2
V]OAH[\JCIKWPbMNRQcZTUDEaY^X,2
UV\GcN^]HWKaPZF,0
UVN\JOAd]X^SWKPIZ_YTGEHbcQ[`aBCRF,2
PWU_FKQNVDb\TSIOY[]JXMALHdZBC`a,2
V]OAH[\JCIKDSPWQUTX,0
OTVAd]QP[`L,0
V]OAHCBNJPIGK,0
UVN\JZ[IQT`CSOAd]WPKXYbaRFELGM,2
PKU_IO^WQXJVAG][\a`ZEDCBcNHYTSMdbLR,2
VO]QPDb\XWEUCaR[,1
VO][USXWQCIbMNLRa\YTB`ZPJKHGd^AED,2
V]OAHJCIKDS[\UNTQPWE_YZac^LRXGFMb,2
VQ[]WTb\`aRKOUGAPDNMIB^,0
VQ[]WT^I\JGYOUKAPbNMSBCHFZRa_LcXDE,2
UVZPDb\[MGQKIOAS]Wda_TJNBCEXHc`LR,2
VQ[]WTRa^XCI`\PDSKJEcYOUGMHA,2
VO]QPDb\XWEIUSN_YKJL`aR[ZTd^GcB,2
VQ[]WT\JZYOUHAMNaRScCIKFLEPb^,2
UVN\JZ[IETSCLKQGH`bO]WPMdcXRa^A,2
VQ[]WT`PN\OU_aKARDJHFLESZI^XcCBYG,2
VQ[]WTb\`aRK^XCIJPNUZF,1
VO]QPDb\XWELUSZ_K,0
VO]QPDb\[MNKIWE`BHGUSJYZLXCTdcA^FaR,2
U\NIPOZ_K,0
U\NIZTKPVWB^,1
VQ[]WTb\^Ic`ZOPUCDGNSMBEJ_KFRXad,2
VQ[bOUHA],0
V[QLOPHA],0
VO]QPDb\[MNGS`WTZUCBJdI^RK_YaHXF,2
V]OAHJCIKTFUP\ZMGQWb[BRL_ac^`DS,2
VQ[`TUMbaZPDIWEc]\NOHBCJXLKSFYd^,2
OTHVUCa[QPDbM\,1
VO][USXWQCINPDA\EKY_B`abMGd^LRT,2
VQ[T]\OHd,0
VO]QPDb\WTJBC[UXY_FKHISGdcNRE`Z^L,2
UVN\JOAd]IHTXQP_`KCBZbcY[SMGaWED^L,2
VQ[]WTOUHACIb\G^JP_FKMDZEBR`NLSYac,2
U\NPVSXWBHQC[`L,0
V[QX]WOHd,0
VO]dQW[`L,0
VO]b[\LQPDWTJKIB^,0
VO][USXWN\YPQCIDJGMKAFEZLRa`BHTb,2
VO][USXWd^IPMRQCaJYTEK\GZLNcH_`AB,2
V[Q]\JOPHAUCBNTSW,0
V]OAHQWTJPIGK,0
V]OAHTCIQPWJKE[`L,0
V]OAHMGIQPWEUTX,0
V[QOUSXWJCIPMGLKRF^,0
V]OAH[\JWTCIKQ^PaRUXFGMNZcSYDE_`,2
VQ[OPDb\TMNUCB`Za_c,0
OTVAd]JPQ`ZSL[\KCXEIWDNUF^caHMbG,1
VO]XQW[`L,0
V]OAHJCIKPWQUTX,0
PKIWQNUOZ_XCa[VDA\ESY^]TBJ`bMGdL,2
V[QJ]WOHd,0
VOQ[UWTS]\YZJPMIBK^aRXLEdcbNDHCA,2
OPJTVHN[d]\U_ZKIWRQEFCDGSYLbM`a,2
OVUCP[QNR,0
PVU_OCQNR,0
OVUCP[NMQ,0
VPUTXWBOMJYE,1
VPUTXWBOMNQJYE,1
VO[QP\JDKUCIGcNabWR],1
VPUWO][aI,0
VPUWTS\NOI[aZY],0
POVJUZWTX,0
UPVT[QOIa,0
